id,study,patent,courses,training,programs,workshops,education,internships,certification,certifications,qualifications,related courses,apprenticeships,special training,academic training,college activities,academic experience,academic background,educational training,internship experience,professional training,educational background,education and training,related course projects,course project experience,educational qualifications
21,,,,,,,"


Tertiary

Institution: University of Johannesburg Completed(2016)

Qualification pursued: Bcom Honours in Internal Auditing.

Major subjects: Internal Auditing Accounting Governance and Control Research Methodology

Institution: University of Johannesburg Completed(2014)

Qualification obtained Advance diploma in Accounting

Major subjects: Accounting Internal Auditing Taxation

Institution: University of Johannesburg Completed(2013)

Qualification obtained: National diploma in Accounting

Major subjects: Accounting Internal Auditing Taxation Cost and Financial Management

SECONDAY

Institution: Edu-College Secondary School

Highest Grade Passed: Grade 12 (2010)

Subjects: English (first language) Afrikaans (second language) Economics Business Studies Mathematical Literacy Accounting Life Orientation

Key academic projects

Pastel evolution training and tutorials

",,,,,,,,,,,,,,,,,,,
22,,,,,,,"


February 2017 – present Bachelor of Commerce with Honours in the field of Business Finance | University of the Witwatersrand

 Subjects to be completed this year: Advanced Financial Risk Management; Theories of Corporate Finance; Theory of Investment; Research Paper in Business Sciences and Advanced Financial Modelling in Excel.

February 2015 – November 2016 Completed Bachelor of Commerce degree | University of the Witwatersrand Year marks:

 Investments and Corporate Finance III (73%) and Management III (67%).

February 2011 - November 2013 Bachelor of Accounting Science | University of the Witwatersrand Subjects covered:

 Taxation II; Human Resources IIA & B; Business Enterprise Law; Mercantile Law and Business Ethics II.

 Accounting I; Computational Mathematics I; Economic IA; Economics IB; Commercial Law I; Business Statistics I and Accounting Information Systems.

",,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,": The University of Cape Town Cape Town South Africa (2014- Present)

",": St. Mary's DSG Pretoria South Africa (2009- 2013)

",": Thornhill Primary School Gaborone Botswana (2002-2008)

Academic Performance

Grade Performance Average cumulative total from start of undergraduate degree 70.550%

2016: Third year undergraduate grade average 73.00%

2015: Second year undergraduate grade average 70.50% (Dean’s Merit List)

2014: First year undergraduate grade average 67.89%

Unofficial Transcript Attached

2013: Achieved an 77.71% average for final grade 12 results

Matric Certificate Attached

2012: Awarded full colours for academic performance (75% average and above)

2011: Awarded half colours for academic performance. (75% average and above)

"
24,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Period : 2007– 2010

Qualification : National Senior Certificate

(Admission to Bachelor)

Name of School : Hoërskool Elandspoort

Subjects Passed : English HL Afrikaans FAL Life Orientation

Computer Application Technology

Life Science Physical Science Mathematics

","


Institution : University of Pretoria

Course : Mathematical Statistics (Final year)

Period : 2011-2017

Student number : 11296667

"
26,,,,,,,"


University: Stellenbosch University

Course of study: BAccouting LLB (2012 - 2013); LLB (2014 - 2016);

LLM (2017)

High School: Swellendam High School Grade 12 (2011)

",,,,,,,,,,,,,,,,,,,,")

2014: Member of Nerina Ladies’ Residence Senior Committee;

Nerina Ladies’ Residence Yearbook Editor

2013: Nerina Ladies’ Residence Newspaper Editor

HIGH SCHOOL

"
27,"
 Classical Piano under Dr Bryan Wallick at University of Pretoria.

",,,,,,"


University of Pretoria​ — ​BCom Statistics (cum laude) with major in Economics

January 2013 - December 2016

University of Pretoria​ — ​BCom (Hons) Statistics January 2017 - PRESENT

Currently completing honours degree. Conducting research in

Machine-Learning: evaluating the performance of Support Vector

Machines Gaussian Processes and Random Forests on class-imbalanced

datasets.

Redhill High School ​Morningside January 2008 - November 2012

Achieved five IEB distinctions in matric.

Crawford Preparatory School ​Benmore January 1999 - December 2007

",,,,,,,,,,,,,,,,,,,
28,,,,,,,"


BSC HON. CHEMICAL ENGINEERING • JAN 2013 – JUNE 2017 •

UNIVERSITY OF KWAZULU NATAL (UKZN)

Core modules:

• Mathematics

• Chemistry

• Principles of chemical engineering

• Mass transfer

• Heat transfer

• Thermodynamics

• Reactor technology

• Chemical engineering design

Responsibilities & achievements:

• Certificate of Merit (2016)

• Engineers without Borders: EWB-UKZN (2015)

BSC MATHEMATICS STREAM • JAN 2012 – DEC 2012 • UNIVERSITY

OF KWAZULU NATAL (UKZN)

Core modules:

• Chemistry & physics 1

• Mathematics 1

• Economics 1

",,,,,,,,,,,,,,,,,,,
29,,,,"
: COMPANY NAME : ASHOK LEYLAND

KEY LEARNING : Learnt maintenance & production related technicalities under PPC Department PERIOD : 02-JUN-14 TO 16-JUL-14

ACADEMIC QUALIFICATION:

QUALIFICATION BOARD/UNIVERSITY YEAR MARKS OBT.(%)

12th B.S.E.R.Ajmer 2010 69.69%

10th B.S.E.R.Ajmer 2008 83.11%

",,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,"


Schooling:

St David’s Marist Brothers Inanda

Attended from 1999 to 2013

Achieved NSC and Matriculated in 2013

Subjects studied: English Afrikaans Math (core) Math Paper 3 Life Orientation Accounting History and Business Studies

University:

University of the Witwatersrand

Completed 1st year of study studying BCom

Completed 2nd year in 2015 studying BCom Investment & Corporate Finance & Management

Completed 3rd year in 2016 studying BCom Investment & Corporate Finance & Management

Graduated with my Undergradate on the 27th of March 2017

Postgraduate Degree: Currently doing Honors in Business Sciences (Management) in 2017

",,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Bcom Hons Information Systems University of the Western Cape

Period 2017- Present

Bcom Information Systems University of the Western Cape

Period: 2014- 2016 (Completed) Cum Laude

"
32,,,,,,,"
 Assistant Mar–Nov 2014

• Marked the test scripts of second year statistics students requiring a consistently high standard of

work and attention to detail.

Huckleberry’s

Assistant ",,,,,,,,,,,,,,,,,,,
33,,,,,,,"


University of The Witwatersrand Johannesburg South Africa Bachelor of Business Science (Finance) with Honours

 ",,,,,,,,,,,,,,,,,,,,": Theory of corporate finance theory of investment advanced financial modelling advanced financial risk management and a research paper in business sciences.

CFA Institute Virginia USA CFA Program

 CFA Level 1: Passed

University of South Africa Pretoria South Africa Bachelor of Commerce in Financial Management

 Final year average: 75%

 Academic average: 70%

 Received distinctions in financial management investment management risk management and taxation.

St John’s College Johannesburg South Africa Matric Certificate

 IEB Bachelor’s Exemption Pass.

",":

South African Institute of Financial Markets (SAIFM) Johannesburg South Africa

 Registered Person Examinations o Regulations and ethics of the South African financial markets o Introduction to financial markets o The equity market

"
34,,,,,,,"


2004 – 2007 Parklands College (Cape Town South Africa)

2007 – 2009 The Oporto International School (CLIP) (Oporto Portugal)

2009 – 2010 Cambridge Centre for Sixth Form Studies (Cambridge UK)

",,,,,,,,,,,,,,,,,,,
35,,,,,,,"
 _ University of Cape Town 2013 – 2016  Bachelor of Business Science Finance (4 year Bachelor Honours Degree). GPA: 68%  Includes an equivalent undergraduate Economics degree  Relevant Coursework: Corporate Finance Investments Alternative Investments Economics III

Econometrics Strategic Thinking Accounting II Applied Statistics III Finance Research Project

 Bloomberg Aptitude Test Score: 570 (89th percentile)  Awarded UCT bursary for the duration of my studies  Awarded ZAR20.00000 bursary in 2015 by the UCT Association for Black Alumni

Inkamana High School 2005 – 2009  National Senior Certificate: 6As including Mathematics (91%) and English (91%) GPA: 89%  Dux (Valedictorian) Student Top 5 Learner in the Vryheid District  Academic scholarship through Grades 10 – 12 School and Hostel Prefect

3. Career and Leadership Development _ Graduate Intern at PSG Wealth May 2017 – Present  PSG Wealth has ZAR33 billion assets under management. Currently work for PSG Invest

(administrators of clients’ assets) in Client Services. Apart from working in CS also perform administrative tasks and involved in tax testing project

 Due to rotate at PSG Securities and PSG Multi-Manager as part of the internship Business Finance Tutor at the Department of Finance and Tax February 2016 – June 2016  Assisting students with the learning process. Responsibilities include: Organising and supervision of

weekly tutorial sessions. Marking of weekly tutorial activities and/or objective tests. Marking of semester tests. Invigilating of tests and exam sessions

Job Shadow at ",,,,,,,,,,,,,,,,,,,
36,,,,,"
 such as ",,"
 and Qualification

Bcom Honours Finance : To be completed in November 2017

Bachelor in commerce : University of the Western Cape

Completed in Nov.2016

Major subjects : Finance Investment Insurance

Auxiliary Subjects : Research strategic Management

Achievement : Mauerberger Bursary Recipient (2017)

: Deans Merit Awards Recipient (2015)

Grade 12 : Sainte Marie High School (Ivory Coast) 2009

Subjects : Mathematics accounting physical sciences

French English

",,,,,,,,,,,,,,,,,,,
37,,,,,,,"


 Year 2018 Masters Dissertation Provisional title: Pricing and Hedging Counterparty Credit Risk.

I have registered a post graduate diploma in Risk Management with UNISA to enhance

my knowledge in risk analysis and management in order to prepare a proposal for a

future Master’s degree in Quantitative Risk Analysis.

 ",,,,,,,,,,,,,,,,,,,," ATTENDED

 Computing in the Financial World Institution: African Institute of Mathematical Sciences

Date: 28 November 2016 – 2 December 2016 Workshop Program:

 Day 1: Introduction to Python Programming and Properties of Financial Data.  Day 2: Financial Instrument and Risk Management.  Day 3: Monte Carlo Methods.  Day 4: Portfolio Theory.  Day 5: The Theory behind Option Pricing.

"
38,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Last school attended : Gondolikhethwa Christian School

Period : January 2009 to December 2009

Highest grade passed : Grade 12 (Senior Certificate)

Subjects : Tshivenda English Physical Sciences Life Orientation Geography Mathematics and Engineering and Graphic Design

EMPLOYMENT DETAILS

Company : Avis

Position : Junior Stats Analyst (Rate Shopper)

Duration : 02 November 2015-Current

Duties :

Communicating the daily fleet stance with demand analyst.

Maintain records of available fleet on a daily basis.

Advice on fleet changes of competitors.

Analyse competitor pricing strategies and communicate with yield analyst.

Daily tracking of competitor prices and changes as per region.

Track and communicate changes of products offered by competitor.

Give input on a mix of products that should be offered in comparison to competitors and on strategies with regards to new product pricing.

Ensure accuracy of affected prices and rate changes.

Maintain the historical database of updated or changes in price and rates.

Resolve any queries with regards to price and rates.

Compile on- rent profile data shown on pivots and graphs.

Taking on ad hoc pricing and strategies project.

Compiling a weekly report of fleets.

Review loaded rates frequently and advise analysts of incorrectly loaded rates

Company : Babhuti Research Institute.

Position : Junior Researcher

Duration : From 8 September 2015 to 01 November 2015

Duties :

"
39,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Tertiary education

I am LLB Final year students from the University of Kwazulu-Natal Howard

College.

HIGH SCHOOL

Matriculation

Curriculum Vitae Duduzile Ngubane

LLB Final Year Student

I went to Ogwini Comprehensive Technical High School and passed with

exemption (2012)

IsiZulu Home Language 89

English First Additional Language 88

Afrikaans Second Additional Language

76

Life Orientation 85

Consumer Studies 76

Geography 73

Mathematics 65

Physical Science Life Sciences

55 47

High school Achievements

Description Year

"
40,,,,,,,,,,,,,,,,,,,,,,,,,,," 2010 – (National Senior Certificate) Parklands High School

Subjects

English 1st Language Accounting

Afrikaans 2nd Language Business Studies

Mathematics Economics

Life Orientation Tertiary Education - University of the Witwatersrand

Second year – Bachelor of Commerce

Subjects

Corporate Finance 2 Economics 2A

Investments 2 Economics 2B

Information Systems 2A Information Systems 2B

Third year – Bachelor of Commerce

Majors

Investment and Corporate Finance 3 Economic Science 3

Bcom Honours – Business Science (2017)

Theory of Investments Theory of Corporate Finance

"
41,,,,,,,,,,,,,,,,,,,,,,"


Tertiary education

Institution : Rhodes University

Qualification : Bachelor of Commerce with Honours in Financial Management

Date of graduation : 01 April 2016

Major modules : Strategic Management 58% Financial Management 57% Risk Management

56% Investment Management 67% Research Module 68%.

Institution : Rhodes University

Qualification : Bachelor of Commerce Majored in Economics & Management

Date of graduation : 10 April 2015

Secondary education

Secondary school : Cyril Clarke Secondary School

Highest level completed : Grade 12 (National Senior Certificate)

Year completed : November 2009

Professional training

Institution : Public Administration Leadership and Management Academy

Course name : Inventory Management

Date of training : 7 February 2017 to 9 February 2017

Institution : National School of Governance

Course name : Introduction to Asset Management

Date of training : 14 February 2017 to 16 February 2017

EDWARD MXOLISI MABASSO

Postal Address: 15 Cairo Crescent Meyersig Lifestyle Estate Southdowns 1449

Cell No. 074 439 9353 Email: e.mxolisi@yahoo.com

Page 2 of 3

",,,,
42,,,,,,,"
 Tertiary Education

Qualification: B.Com Honours Degree in International Trade Institution: North West University (NWU) Potchefstroom Date to be completed: November 2017 Subjects: Export Market Development; International Trade Theory and

Policy; International Trade Research Methods; International Cargo Movement; International Trade Relations; Export Administration; International Trade Law.

",,,,,,,,,,,,,,,,,,,," Qualification: B.Com Degree in Economics and Risk Management (Cum

Laude) Institution: North West University (NWU) Potchefstroom Date completed: November 2016 Subjects: Financial Accounting; Strategic Management Financial

Management; Business Management; Business Law; Consumer Behaviour; Advanced Mathematical Techniques Introductory Statistics; Macro-Economics Micro-Economics; Fiscal & Monetary Policy; Economic Analysis; Development Economics; International Trade Finance and Payment; International Business Communication; Investment Management; Bank Risk Management; Financial Markets; Applied Ethics; Professional Skills Development.

"," High School: Hoërskool Stoffberg Date completed: November 2013 Subjects: Afrikaans; English; Life Orientation; Mathematics; Accounting;

Tourism; Economics (6 Distinctions)

5. "
43,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Institution: Rhodes University

Period: 2014 - Current

Year of study: Fourth year

Degree: Bachelor of Business Science

Major Subjects: Information Systems & Strategic Management

Third year results: Information Systems-76%

Management-74%

","

Institution: Cannons Creek Independent School

Period: Matriculated in 2013 with a National Senior Certificate

Subjects: English Afrikaans Mathematics Maths Paper 3 Physical Science

Accounting Computer Applications Technology Life Orientation

"
44,,,,,,,"


Chartered Financial Analyst Institute - CFA - Level 1 June 2017 Inseec Business School - Bordeaux France 2014-2018 Member of the Conférence des Grandes Ecoles.

Ø   Degree in Business Administration: 2nd year student of a 3-year program Ø   Minors: Financial Management: Banks and Financial Markets ; Financial Mathematics ; Corporate Finance.

Corporate and international Finance : International Finance ; Banking ; Corporate Finance Lycée Dupuy-de-Lôme - Lorient France 2012-2014

Ø   Pre-Business Administration courses which prepare for the entrance examinations to Management Schools Lycée Saint-Paul - Vannes France 2008-2012

Ø   French Baccalaureate – Sciences equivalent to British A Levels

",,,,,,,,,,,,,,,,,,,
